Game ID,White Rating,Black Rating,Opening ECO,Opening Ply,White Centi-pawn Loss,White's Number of Inaccuracies,White's Number of Mistakes,White's Number of Blunders,Black Centi-pawn Loss,Black's Number of Inaccuracies,Black's Number of Mistakes,Black's Number of Blunders,Match Ranking
CKRl5rAo,1396,1398,C46,6,104,4,2,4,79,3,2,4,
rqprk1vC,1562,1392,C57,11,17,0,0,0,82,2,2,1,
yE9kd2hE,1618,2144,B07,5,53,3,3,2,81,10,2,2,
wZM9wKUi,1897,2137,E12,7,63,3,1,2,37,3,1,1,
l0yTaC56,2137,1687,B00,2,38,5,2,0,80,4,1,4,
G0JZUrjb,1879,1851,E73,11,77,1,1,5,82,2,3,3,
slUDLrPY,2089,1884,A31,5,22,2,1,1,47,3,2,2,
rvyypgbb,2058,1891,A00,7,32,4,2,1,51,6,0,1,
RjJEd9cB,1732,1985,A46,5,61,4,1,1,24,3,0,1,
ZfZx1vT9,1747,1961,A45,2,60,3,3,3,39,3,3,1,
